card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
<<<<<<< HEAD
20250914-00103-249f1d2d|Windguard|||When our monster is targeted for destruction by an effect: negate that effect and view all cards in the opponent’s hand.|pictures/wind_protection.png|2025-09-14 15:18:38
20250914-00104-b6d39918|Rally Speech||All our monsters gain ATK +5 this turn.||pictures/fight_speech.png|2025-09-14 15:18:25
20250914-00109-0053dbb4|Force Snatch|||When the opponent draws a card: take that card or take 1 card from their hand.|pictures/snatch.png|2025-09-14 15:16:18
20250914-00112-56324412|Ominous Muster||Deal 10 damage to the opponent.||pictures/bad_sign.png|2025-09-14 15:15:18
20250914-00116-271c106f|Companion Nest|The Prophet says there might be allies in this hole.|Discard your entire hand; draw and reveal until you have drawn 2 monster cards.||pictures/new_cave.png|2025-09-14 08:38:43
20250914-00117-d5636fff|Uneven Split|The pot is empty…||After we make an additional summon this turn: flip 1 of our face-up monsters face-down; then take 2 random cards from the opponent’s hand.|pictures/inequal.png|2025-09-14 08:36:54
20250914-00118-b48dc67e|Blend Under Pressure|We’re all goblins—no special treatment.|Additional summon 1 Level 0 monster. All our monsters’ base ATK becomes the average of their base ATK (round up).||pictures/integration.png|2025-09-14 08:35:44
20250914-00119-c91c18f6|Perfect Cave|[Persistent] The Prophet found a hole like a black hole.|At End Phase: you may place any number of monsters from hand or field onto this card. During Set phase: you may summon up to two from this card (first counts as Normal Summon, second as Additional Summon). (Cards placed on this card are not on the field.)||pictures/goblin_cave.png|2025-09-14 08:34:47
20250914-00120-9f02a750|Goblin Spirit|[Persistent] A once-kind goblin, slain by kin, became a spirit.|After use, during our turns treat this as a monster: Spirit type, ATK 4, DEF 4.||pictures/goblin_gost.png|2025-09-14 08:32:59
20250914-00123-ee0f24f0|Fearless Siege|“All in—what’s to fear?” says the Prophet.|Any number of our attack-capable monsters perform a joint attack with combined ATK. The joint attack does not trigger any opponent effects. Those monsters cannot attack again this turn.||pictures/siege.png|2025-09-14 08:32:14
20250914-00124-995fdd22|River Sacrifice|Someone must pay for prosperity, says the Prophet.|Destroy 1 of our monsters; draw 3 cards.||pictures/sacrifice.png|2025-09-14 08:32:04
