card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
20250913-00084-32993e32|愚者之斧|【永续/装备】在预言家的指引下，人们发现了这个神奇的魔斧。|装备怪物属性无效，不可使用技能。攻击力和防御力+3。||pictures/fool_arc.png|2025-09-13 21:20:34
20250913-00089-8cc8fbf0|军队扩充|【快速】|额外普通召唤至多两只怪物。本回合结束后，他们如果还在场上，则要回到手牌。||pictures/more_monster.png|2025-09-13 21:20:34
20250913-00090-3f30abc2|不详征召||给予对方10点伤害。||pictures/bad_sign.png|2025-09-13 21:20:34
20250913-00091-cf2d4293|精良装备|【永续/装备】|攻击力+1，防御力+4||pictures/great_arm.png|2025-09-13 21:20:34
20250913-00092-43a35ea6|国库宝藏||丢弃一张手牌（或场上的牌，或灵力），抽2张牌。||pictures/land_gold.png|2025-09-13 21:20:34
20250913-00094-d0e29c3e|大预言书|【永续】预言家什么也没说，只是默默写了本书|将此卡移出的回合，可以额外再使用最多三次预言卡。||pictures/prophey_book.png|2025-09-13 21:20:34
20250913-00095-cef8aed7|召唤术|【快速】|额外召唤一只怪物，并将此卡作为该怪物灵力附着。||pictures/summon.png|2025-09-13 21:20:34
20250913-00096-0d8d9f72|出售神鱼||对方选择我方场上一只怪物破坏。我方手牌抽到5张牌。||pictures/sale_god.png|2025-09-13 21:20:34
20250913-00097-389a95aa|海上风暴|【永续】|（此卡翻面的回合不能使用；且我方场上和手上一共有8张牌及其以上才能使用）丢弃我方所有场牌和手牌，破坏对方场上所有牌，我方再抽5张牌。||pictures/seastrom.png|2025-09-13 21:20:34
20250913-00098-024e60f7|神识天眼||查看对方一张盖牌和两张手牌。再将一张盖牌返回对方手中。||pictures/sky_eye.png|2025-09-13 21:20:34
20250913-00099-4a3e8621|仙人梯||额外召唤一只怪物（所需灵力-1），之后随机丢弃一张手牌。||pictures/god_land.png|2025-09-13 21:20:34
20250913-00100-95cd48bf|天降灵丹|【快速】|灵力+1。如果是【天仙种】则灵力再+1。||pictures/sudden_spirit.png|2025-09-13 21:20:34
20250913-00101-44e4a903|神坛贡品|【快速】|布置阶段召唤高级怪物时，所需灵力-2。||pictures/offering.png|2025-09-13 21:20:34
20250913-00103-35696508|早产预兆|【快速】预言家预言了你的提早降临。|额外翻面召唤一只怪物。以这个方式翻面召唤的怪物此回合不受对方卡片效果影响。||pictures/premature_birth_sign.png|2025-09-13 21:20:34
