card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
20250913-00084-aee4a20e|Fool’s Axe|[Continuous/Equip] Guided by the Seer, people discovered this magical axe.|Negate the equipped monster’s attributes; it cannot use skills. ATK and DEF +3.||pictures/fool_arc.png|2025-09-13 21:21:52
20250913-00085-4f160f39|River God’s Sacrifice|The Seer said some must be offered for prosperity.|Destroy 1 of your monsters; draw 3 cards.||pictures/sacrifice.png|2025-09-13 21:21:52
20250913-00086-156d13e9|Fearless Siege|The Seer said: “All in—what’s there to fear?”|All of your monsters that can attack perform one Joint Attack; ATK equals the sum of their ATK. The Joint Attack does not trigger any opponent effects. Monsters that joined the Joint Attack cannot attack again this turn.||pictures/siege.png|2025-09-13 21:21:52
20250913-00087-8017584b|Aggregation Effect||If you control a monster, you may perform two additional Summons.||pictures/follower.png|2025-09-13 21:21:52
20250913-00088-3c91693e|Raging Party||All your monsters get ATK + (your number of monsters). All opponent monsters get DEF + (their number of monsters). Battle damage this turn is doubled.||pictures/outrage.png|2025-09-13 21:21:52
20250913-00089-b1e6c191|Army Expansion|[Quick]|Additionally Normal Summon up to two monsters. At the end of this turn, if they are still on the field, return them to your hand.||pictures/more_monster.png|2025-09-13 21:21:52
20250913-00090-d508c58d|Ominous Draft||Inflict 10 damage to the opponent.||pictures/bad_sign.png|2025-09-13 21:21:52
20250913-00091-b4b3eab8|Fine Armament|[Continuous/Equip]|ATK +1; DEF +4.||pictures/great_arm.png|2025-09-13 21:21:52
20250913-00092-d426120c|National Treasury||Discard 1 card (from hand or field) or remove 1 Energy; draw 2 cards.||pictures/land_gold.png|2025-09-13 21:21:52
20250913-00093-410a6b70|Goblin Spirit|[Continuous] A once-in-a-century friendly goblin, slain by its kin and turned spirit.|After use, during your turn treat this as a Monster card: Spirit-kind, ATK 4, DEF 4.||pictures/goblin_gost.png|2025-09-13 21:21:52
20250913-00094-75a5148a|Grand Book of Prophecy|[Continuous] The Seer said nothing—just quietly wrote a book.|During the turn this card leaves the field, you may play up to three additional Prophecies.||pictures/prophey_book.png|2025-09-13 21:21:52
20250913-00095-a64ec202|Summoning Art|[Quick]|Additionally Summon 1 monster, then attach this card to it as 1 Energy.||pictures/summon.png|2025-09-13 21:21:52
20250913-00096-046cefc4|Sell the Sacred Fish||The opponent chooses and destroys one of your monsters. Then draw until you have 5 cards in hand.||pictures/sale_god.png|2025-09-13 21:21:52
20250913-00097-332660f7|Sea Storm|[Continuous]|(Cannot be used the turn it is set; and you must have ≥8 total cards in hand + on your field.) Discard all cards from your hand and field; destroy all opponent cards on the field; then draw 5 cards.||pictures/seastrom.png|2025-09-13 21:21:52
20250913-00098-c7f6dd0e|Clairvoyant Eye||Look at one opponent set card and two cards in their hand; then return one set card to their hand.||pictures/sky_eye.png|2025-09-13 21:21:52
20250913-00099-2d83ac04|Immortal’s Ladder||Additionally Summon 1 monster (required Energy −1), then discard 1 random card.||pictures/god_land.png|2025-09-13 21:21:52
20250913-00100-24adb3a9|Heaven-Sent Elixir|[Quick]|Choose a monster; it gains +1 Energy. If it is [Heavenly-kind], it gains +1 additional Energy.||pictures/sudden_spirit.png|2025-09-13 21:21:52
20250913-00101-f93a00ad|Altar Offering|[Quick]|During the Set phase, when you Summon a high-level monster: required Energy −2.||pictures/offering.png|2025-09-13 21:21:52
20250913-00102-9dfd54d6|Blend Under Pressure||Additionally Summon a level-0 monster; all your monsters’ base ATK becomes the (rounded-up) average of their base ATK.||pictures/integration.png|2025-09-13 21:21:52
20250913-00103-828d52bd|Premature Birth Sign|[Quick] The Seer foretold your early arrival.|Additionally flip-Summon 1 monster. A monster flip-Summoned this way is unaffected by opponent card effects this turn.||pictures/premature_birth_sign.png|2025-09-13 21:21:52
20250913-00104-d4088e94|Perfect Grotto|[Continuous] The Seer found a cave akin to a black hole.|At End Phase, you may place any number of monsters from your hand or field onto this card. During the Set phase, you may Summon up to two monsters from this card (the first counts as a Normal Summon, the second as an additional Summon). (Cards placed on this card are not considered on the field.)||pictures/goblin_cave.png|2025-09-13 21:21:52
20250913-00105-3a8908df|Break From Stone||(Use only if you control no monsters.) [Directly Summon] one level ≤3 monster from your discard.||pictures/earth_breaking.png|2025-09-13 21:21:52
20250913-00106-dd12b530|Cold and Starved|An ill-timed cold snap and hunger arrive together.||When the opponent’s last monster on the field is destroyed: destroy 2 cards from their hand or 1 Prophecy card.|pictures/cold_starve.png|2025-09-13 21:21:52
20250913-00107-c0492dd5|Power of the All-Seeing Eye|||At the end of your turn: name a card. If the opponent has it in hand or set, they must discard it. Then keep naming until you miss.|pictures/eye_power.png|2025-09-13 21:21:52
