card_title|level|monster_type|description|attack|defence|magic|characters|skills|image
斯巴达武士|0|土|【人类种】在这个充满怪物的基姆世界，人类也是怪物的一种。|5|5|0|{}|[{"skill_name":"背水一击","number_power":1,"skill_text":"本回合的下次攻击攻击力+1"}]|pictures/spartan_samurai.png
狼巨人|1|木|【兽人种】栖息在巨木林的巨大的狼人，最大的身高可以到20米。|7|6|0|{"react_characters":"被翻面召唤时，可以立即攻击己方场上一只怪兽。如果成功攻击破坏，将会给对方造成对应攻击伤害。"}|[{"skill_name":"狼嗥","number_power":0,"skill_text":"可以额外召唤一只名字中带有“狼”的怪兽，或额外使用一张名字中带有“狼”的预言卡。"},{"skill_name":"森林重击","number_power":2,"skill_text":"此卡可以依次攻击对方场上所有怪兽一次，直到此卡被破坏。"}]|pictures/wolf_gaint.png
石砖人|2|岩|【石头人种】废弃的城堡变化成的石头人|10|10|0|{}|[]|pictures/castle_man.png
大嘴哥布林|1||【兽人种】抢夺了族人的食物而长大的哥布林，寿命很短。|7|3|0|{}|[{"skill_name":"召唤","number_power":0,"skill_text":"特殊召唤一只0级兽人种怪物到我方场上。"},{"skill_name":"强袭","number_power":1,"skill_text":"【攻击技能】此卡攻击造成的战斗伤害 + （我方场上怪兽数量）"}]|pictures/big_goblin.png
刺客哥布林|0|金|【兽人种】虽然但是，在大白天会不会太显眼了一点。|2|0|0|{"normal_characters":"当我方场上有其他怪兽时，无法指定为被攻击的对象。攻击力+我方场上的怪兽数量x2。"}|[]|pictures/assassin_goblin.png
哥布林萨满|1|木|【兽人种】没有什么智慧，都是装的。|0|2|0|{}|[{"skill_name":"哥布林幻影","number_power":2,"skill_text":"从手牌特殊召唤一只怪物。该怪物无法发出攻击指令，对方回合结束后从任意处都要回到我方手牌。"},{"skill_name":"神圣祝福","number_power":1,"skill_text":"操作阶段开始使用，破坏一只怪物，回合结束。直到对方回合结束我方怪物都不会被战斗破坏，也不会被对方预言破坏。"},{"skill_name":"灵力吸收","number_power":0,"skill_text":"吸收我方场上任意数量的灵力。或者将此卡灵力全部分配给另一只怪兽。"}]|pictures/goblin_sama.png
哥布林厨师长|0||【兽人种】孩子，该回家吃饭了。|0|3|0|{}|[{"skill_name":"佳肴","number_power":1,"skill_text":"我方场上所有除自己外兽人族，攻击+2。"},{"skill_name":"躲锅里","number_power":0,"skill_text":"此回合不攻击，防御力+4直至对方回合结束。"}]|pictures/goblin_chef.png
哥布林圣壶|0||【器具种】哥布林这个肮脏的种族竟然有如此圣器。|0|5|0|{"normal_characters":"一回合一次，可以支付20点生命值，将两只怪物从弃牌堆加入手牌。"}|[{"skill_name":"圣育","number_power":0,"skill_text":"丢弃一张手牌，额外召唤一只1级以下名字中带有【哥布林】的怪物。该怪物此回合不能攻击。"},{"skill_name":"族诞","number_power":1,"skill_text":"丢弃两张手牌，重新进入布置阶段。且召唤次数不受限制。"},{"skill_name":"种运","number_power":2,"skill_text":"丢弃三张手牌，破坏对方场上一只怪物，一张预言，一张手牌。"}]|pictures/goblin_vase.png
少年勇士|0|金|【人类种】意气风发的少年勇士。|6|4|0|{}|[]|pictures/young_fighter.png
阴阳真人|0|虚|【人类种】中二的修行之人。|3|3|0|{"normal_characters":"操作阶段可额外使用一张预言卡。","react_characters":"当对方在我方回合使用预言卡时，将<天借真力>从牌堆或弃牌堆加入手牌。"}|[{"skill_name":"八门遁甲","number_power":1,"skill_text":"将对方场上一张卡片返回对方手牌。"}]|pictures/yin_yang.png
重锤骑士|1|金|【兽人种】温和的兽人，喜欢和人类生活在一起。|7|9|0|{}|[]|pictures/hard_knight.png
贪婪壶灵|0|金|【灵体种】年龄非常大的器灵。|1|1|0|{"normal_characters":"不会被战斗破坏。","react_characters":"当对方在抽牌阶段外抽牌时，我方同步抽相同张数。"}|[]|pictures/greedy.png
双胞胎哥布林|0||【兽人种】从出生就形影不离的两只哥布林|2|2|0|{"normal_characters":"在场上视为两只怪物。一回合被攻击破坏两次或被卡片破坏两次才会被破坏。"}|[{"skill_name":"双重攻击","number_power":1,"skill_text":"此回合可以攻击两次。"}]|pictures/double_goblin.png
刚铎幼龙|0|火|【龙种】|10|6|0|{"normal_characters":"破坏我方场上1张怪物，或是丢弃2张手牌，才可采用普通方式召唤此卡。每回合结束阶段给我方带来5点伤害。"}|[]|pictures/little_dragon.png
珍珠人鱼|0|水|【鱼人种】|2|1|0|{}|[{"skill_name":"召唤风浪","number_power":0,"skill_text":"选择对方场上一张牌回到对方手牌。我方丢弃一张手牌"},{"skill_name":"珍珠圣光","number_power":5,"skill_text":"给对方造成30点伤害"}]|pictures/pearl_girl.png
霜鳞幼龙|0|冰|【龙种】|8|8|0|{"normal_characters":"将一张预言卡放回牌堆上方才可采用普通方式召唤。每回合结束阶段给我方带来5点伤害。"}|[]|pictures/dragon2.png
龟甲斗士|0|水|【鱼人种】|1|6|0|{"normal_characters":"此卡在场上时，对方必须优先攻击此卡。优先级：1"}|[{"skill_name":"龟甲飞盘","number_power":1,"skill_text":"攻击力+5直到下次攻击结束。"}]|pictures/turtle_fighter.png
老龟仙人|0|水|【鱼人种】|0|0|0|{"react_characters":"一回合一次，当我方场上怪物受到攻击力加成时，抽一张牌。如果该卡是3级以下怪物卡，可以直接召唤；如果是预言卡，可以直接使用。"}|[{"skill_name":"龟灵守护","number_power":0,"skill_text":"选择我方场上一张怪物或永续预言丢弃。我方一只怪物+1灵力，+8防御直到对方回合结束。"}]|pictures/turtle_wisdom.png
章鱼女王|0|水|【鱼种】|0|3|0|{"react_characters":"此卡被额外召唤的时，抽两张牌。"}|[{"skill_name":"泡泡孕育","number_power":0,"skill_text":"额外召唤一只怪物"}]|pictures/summoner.png
沙丁鱼群|0||【鱼种】|0|0|0|{}|[{"skill_name":"营养残留","number_power":0,"skill_text":"此技能一回合可以使用三次。抽一张牌，可以立即覆盖在场上。减去2血。"}]|pictures/sadin_fish.png
水灵蛇|0|水|【鱼种】|1|0|0|{"normal_characters":"每回合结束阶段获得一点灵力，可以分配到其他怪物上，并+8生命。","react_characters":"此卡被战斗破坏时，对方复活一只怪物。"}|[]|pictures/godfish.png
预言夫人|0|水|【鱼人种】趋利避害的高手。|1|8|0|{"react_characters":"有效果被抽牌触发时，可查看对方一张盖牌或手牌。"}|[]|pictures/prophecy.png
