card_title|level|monster_type|description|attack|defence|magic|attributes|skills|image
Spartan Warrior|0|Earth|[Human-kind] In this monster-filled Gemu world, humans are counted as monsters too.|5|5|0|{}|[{"name":"Desperate Strike","energy_cost":1,"effect":"Your next attack this turn gets +1 ATK."}]|pictures/spartan_samurai.png
Wolf Giant|1|Wood|[Orc-kind] A massive werewolf dwelling in the greatwood; the largest reach 20 meters.|7|6|0|{"responsive_attribute":"When flip-summoned: you may immediately have one of your monsters attack. If that attack destroys a monster, also inflict equal damage to the opponent."}|[{"name":"Wolf Howl","energy_cost":0,"effect":"You may additionally summon a monster with Wolf in its name, or play a Prophecy with Wolf in its name."},{"name":"Forest Smash","energy_cost":2,"effect":"This card may attack each enemy monster in order this turn, until this card is destroyed."}]|pictures/wolf_gaint.png
Brickwork Golem|2|Rock|[Golem-kind] A golem formed from a ruined castle.|10|10|0|{}|[]|pictures/castle_man.png
Bigmouth Goblin|1||[Orc-kind] A goblin fattened by stealing tribal rations; short-lived.|7|3|0|{}|[{"name":"Summon","energy_cost":0,"effect":"Special Summon one level-0 Orc-kind monster to your field."},{"name":"Raid","energy_cost":1,"effect":"[Attack Skill] This card’s battle damage + number of your monsters."}]|pictures/big_goblin.png
Assassin Goblin|0|Metal|[Orc-kind] Stealthy—though a bit conspicuous under broad daylight.|2|0|0|{"normal_attribute":"While you control other monsters, this cannot be chosen as an attack target. ATK + 2 × number of your monsters."}|[]|pictures/assassin_goblin.png
Goblin Shaman|1|Wood|[Orc-kind] Not much wisdom—mostly bluff.|0|2|0|{}|[{"name":"Mirage","energy_cost":2,"effect":"Special Summon a monster from your hand. It cannot declare attacks. After the opponent’s turn ends, return it to your hand from anywhere."},{"name":"Go-Blessing","energy_cost":1,"effect":"Use at the start of your Monster phase: destroy a monster, then end the turn. Until the end of the opponent’s next turn, your monsters cannot be destroyed by battle or by opponent’s Prophecies."},{"name":"Energy Absorb","energy_cost":0,"effect":"Absorb any amount of Energy on your field, or move all Energy from this card to another monster."}]|pictures/goblin_sama.png
Goblin Head Chef|0||[Orc-kind] “Kid, dinner time.”|0|3|0|{}|[{"name":"Gourmet Feast","energy_cost":1,"effect":"All your Orc-kind monsters other than this get +2 ATK this turn."},{"name":"Pot Hide","energy_cost":0,"effect":"Skip this card’s attacks this turn; DEF +4 until the end of the opponent’s turn."}]|pictures/goblin_chef.png
Goblin Holy Urn|0||[Relic-kind] Even this filthy race owns a holy vessel.|0|5|0|{"normal_attribute":"Once per turn, pay 20 Life to add two monsters from your discard to your hand."}|[{"name":"Sacred Nurture","energy_cost":0,"effect":"Discard 1; additionally Summon a level-1 or lower monster with Goblin in its name. That monster cannot attack this turn."},{"name":"Tribal Birth","energy_cost":1,"effect":"Discard 2; re-enter the Set phase. Your Summon count is not limited this turn."},{"name":"Clan’s Fate","energy_cost":2,"effect":"Discard 3; destroy one opponent monster, one Prophecy, and one card from their hand."}]|pictures/goblin_vase.png
Young Warrior|0|Metal|[Human-kind] A high-spirited youth.|6|4|0|{}|[]|pictures/young_fighter.png
Yin-Yang Adept|0|Void|[Human-kind] An edgy practitioner of the Way.|3|3|0|{"normal_attribute":"During your Monster/Action phase, you may play one extra Prophecy.","responsive_attribute":"When the opponent uses a Prophecy during your turn, add “Heaven-Borrowed True Power” from your deck or discard to your hand."}|[{"name":"Eight Gates","energy_cost":1,"effect":"Return one opponent card on the field to their hand."}]|pictures/yin_yang.png
