card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
20250914-00103-249f1d2d|Windguard|||When our monster is targeted for destruction by an effect: negate that effect and view all cards in the opponent’s hand.|pictures/wind_protection.png|2025-09-14 15:18:38
20250914-00109-0053dbb4|Force Snatch|||When the opponent draws a card: take that card or take 1 card from their hand.|pictures/snatch.png|2025-09-14 15:16:18
20250914-00112-56324412|Ominous Muster||Deal 10 damage to the opponent.||pictures/bad_sign.png|2025-09-14 15:15:18
20250914-00116-271c106f|Companion Nest|The Prophet says there might be allies in this hole.|Discard your entire hand; draw and reveal until you have drawn 2 monster cards.||pictures/new_cave.png|2025-09-14 08:38:43
20250914-00117-d5636fff|Uneven Split|The pot is empty…||After we make an additional summon this turn: flip 1 of our face-up monsters face-down; then take 2 random cards from the opponent’s hand.|pictures/inequal.png|2025-09-14 08:36:54
20250914-00118-b48dc67e|Blend Under Pressure|We’re all goblins—no special treatment.|Additional summon 1 Level 0 monster. All our monsters’ base ATK becomes the average of their base ATK (round up).||pictures/integration.png|2025-09-14 08:35:44
20250914-00119-c91c18f6|Perfect Cave|[Persistent] The Prophet found a hole like a black hole.|At End Phase: you may place any number of monsters from hand or field onto this card. During Set phase: you may summon up to two from this card (first counts as Normal Summon, second as Additional Summon). (Cards placed on this card are not on the field.)||pictures/goblin_cave.png|2025-09-14 08:34:47
20250914-00120-9f02a750|Goblin Spirit|[Persistent] A once-kind goblin, slain by kin, became a spirit.|After use, during our turns treat this as a monster: Spirit type, ATK 4, DEF 4.||pictures/goblin_gost.png|2025-09-14 08:32:59
20250914-00123-ee0f24f0|Fearless Siege|“All in—what’s to fear?” says the Prophet.|Any number of our attack-capable monsters perform a joint attack with combined ATK. The joint attack does not trigger any opponent effects. Those monsters cannot attack again this turn.||pictures/siege.png|2025-09-14 08:32:14
20250914-00125-f3f012bf|Tree Drain||Destroy 1 of our monsters. Choose another of our monsters: it gains ATK +5 and Mana + (1 + the destroyed monster’s Mana).||pictures/tree_absorb.png|2025-09-13 21:20:34
20250914-00127-5078d42d|Evil Bloom Trap|||When the opponent declares an attack: pay 1 Mana to negate the attack and destroy the attacker; if destroyed, we gain Faith +3.|pictures/piranha.png|2025-09-13 21:20:34
20250914-00129-d37678e8|Ancient Forest Cannon|[Persistent]|(Once per turn) Remove 2 Mana from our field (not from this card) to destroy 1 opponent card; then this card gains +1 Mana.||pictures/forest_cannon.png|2025-09-13 21:20:34
20250914-00130-77844b0a|Finely Bound Codex||Remove 1 Mana from the field; swap this card with a Prophecy in the discard, then immediately use that Prophecy.||pictures/magic_codex.png|2025-09-13 21:20:34
20250914-00131-f1cb565d|Aster Ward|[Persistent/Equipment]|Equipped monster gains +1 Mana at each End Phase; if the opponent has no Set cards, gain +1 more.||pictures/rainbow_protect.png|2025-09-13 21:20:34
20250914-00132-288e2043|Emerald Flash|||When an opponent card is flipped face-up: negate its effect and destroy that card.|pictures/green_laser.png|2025-09-13 21:20:34
20250914-00136-c9d5ad0a|Vile Fen|[Persistent/Field]||At the end of our turn: deal 5 damage to the opponent.|pictures/veilfen.png|2025-09-13 21:20:34
20250914-00143-a4d9268d|Spirit Deer Charge||Remove 1 Mana from our field; treat as a monster (ATK 15 / DEF 0) that makes one attack. (If the opponent has no monsters or egg tokens, it may attack directly.)||pictures/deer.png|2025-09-13 21:20:34
20250914-00145-b0329d9f|Hallucination Rod|[Persistent/Equipment]|Equipped monster gains the skill **[Hallucinate]**: gain control of an enemy monster for 1 turn (it counts as ours and may attack the player if allowed).||pictures/hollow.png|2025-09-13 21:20:34
20250914-00146-55fed6ab|All Mana to One||Move all Mana from both fields onto one of our monsters.||pictures/sprint_return.png|2025-09-13 21:20:34
20250914-00147-af442b25|Spiritcore Sword|[Persistent/Equipment]|Equipped monster gets ATK +5, DEF +5. At each of our End Phases, remove 1 Mana from our field or destroy this card.||pictures/spring_altar.png|2025-09-13 21:20:34
20250914-00149-a35b2799|Sudden Brilliance||Mana +2, randomly distributed among our monsters.||pictures/spirit_shine.png|2025-09-13 21:20:34
20250914-00150-3469fc04|Holy Protection|[Persistent]|All our monsters gain DEF +3.||pictures/protection.png|2025-09-13 21:20:34
20250914-00151-9b3f45d9|Swift Steps||Choose one of our monsters; it can attack two extra times this turn.|When we declare an attack: another of our monsters gets ATK +10 for its next attack this turn.|pictures/speedup.png|2025-09-13 21:20:34
20250914-00152-382716de|Horn of Counterattack|The Prophet blows the horn at the perfect moment.|This turn, ATK/DEF buffs on our monsters are doubled.|When the opponent declares an attack: all our monsters gain DEF +5 this turn.|pictures/counterattack_horn.png|2025-09-13 21:20:34
20250914-00153-154accc4|Fatal Gift|Who can refuse a cute kitty?|Choose one of our Level ≤2 monsters; it attacks the opponent directly.||pictures/dangerous_gift.png|2025-09-13 21:20:34
20250914-00155-9bacd7e6|Holy Annihilation|Heaven’s sanction foretells Mother Earth’s disdain.||When a monster on the field is destroyed by battle: deal damage to the opponent equal to double its DEF.|pictures/light_boom.png|2025-09-13 21:20:34
20250914-00157-51750ecb|Golden Aegis|||When the opponent declares an attack: negate it; return a random face-up opponent card to their hand.|pictures/golden_protection.png|2025-09-13 21:20:34
20250914-00158-70ae9303|Desert Gust||Discard 1 card; bounce 1 opponent card to their hand.|After an opponent monster finishes an attack: one of our monsters makes an attack.|pictures/wind_attack.png|2025-09-13 21:20:34
20250914-00159-02c34605|Eye of Omniscience|||At the end of our turn: name a card. If it is in the opponent’s hand or Set zone, they must discard it. Repeat naming until we miss.|pictures/eye_power.png|2025-09-13 21:20:34
20250914-00160-5f03576b|Cold and Starve|An untimely chill and hunger arrive together.||When the opponent’s last monster is destroyed: also destroy 2 of their hand cards or 1 Prophecy.|pictures/cold_starve.png|2025-09-13 21:20:34
20250914-00161-d0481a3f|Break the Earth||(Only if no monsters are on the field) [Direct Summon] 1 Level ≤3 monster from the discard.||pictures/earth_breaking.png|2025-09-13 21:20:34
