card_title|introduction|effect|responsive_effect|image
Fool’s Axe|[Continuous/Equip] Guided by the Seer, people discovered this magical axe.|Negate the equipped monster’s attributes; it cannot use skills. ATK and DEF +3.||pictures/fool_arc.png
River God’s Sacrifice|The Seer said some must be offered for prosperity.|Destroy 1 of your monsters; draw 3 cards.||pictures/sacrifice.png
Fearless Siege|The Seer said: “All in—what’s there to fear?”|All of your monsters that can attack perform one Joint Attack; ATK equals the sum of their ATK. The Joint Attack does not trigger any opponent effects. Monsters that joined the Joint Attack cannot attack again this turn.||pictures/siege.png
Aggregation Effect||If you control a monster, you may perform two additional Summons.||pictures/follower.png
Raging Party||All your monsters get ATK + (your number of monsters). All opponent monsters get DEF + (their number of monsters). Battle damage this turn is doubled.||pictures/outrage.png
Army Expansion|[Quick]|Additionally Normal Summon up to two monsters. At the end of this turn, if they are still on the field, return them to your hand.||pictures/more_monster.png
Ominous Draft||Inflict 10 damage to the opponent.||pictures/bad_sign.png
Fine Armament|[Continuous/Equip]|ATK +1; DEF +4.||pictures/great_arm.png
National Treasury||Discard 1 card (from hand or field) or remove 1 Energy; draw 2 cards.||pictures/land_gold.png
Goblin Spirit|[Continuous] A once-in-a-century friendly goblin, slain by its kin and turned spirit.|After use, during your turn treat this as a Monster card: Spirit-kind, ATK 4, DEF 4.||pictures/goblin_gost.png
Grand Book of Prophecy|[Continuous] The Seer said nothing—just quietly wrote a book.|During the turn this card leaves the field, you may play up to three additional Prophecies.||pictures/prophey_book.png
Summoning Art|[Quick]|Additionally Summon 1 monster, then attach this card to it as 1 Energy.||pictures/summon.png
Sell the Sacred Fish||The opponent chooses and destroys one of your monsters. Then draw until you have 5 cards in hand.||pictures/sale_god.png
Sea Storm|[Continuous]|(Cannot be used the turn it is set; and you must have ≥8 total cards in hand + on your field.) Discard all cards from your hand and field; destroy all opponent cards on the field; then draw 5 cards.||pictures/seastrom.png
Clairvoyant Eye||Look at one opponent set card and two cards in their hand; then return one set card to their hand.||pictures/sky_eye.png
Immortal’s Ladder||Additionally Summon 1 monster (required Energy −1), then discard 1 random card.||pictures/god_land.png
Heaven-Sent Elixir|[Quick]|Choose a monster; it gains +1 Energy. If it is [Heavenly-kind], it gains +1 additional Energy.||pictures/sudden_spirit.png
Altar Offering|[Quick]|During the Set phase, when you Summon a high-level monster: required Energy −2.||pictures/offering.png
Blend Under Pressure||Additionally Summon a level-0 monster; all your monsters’ base ATK becomes the (rounded-up) average of their base ATK.||pictures/integration.png
